Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_156,9,13.47,0.5485,6.202
candidate_157,1,25.94,0.6494,6.384
candidate_157,2,26.57,0.5546,6.547
candidate_157,3,19.92,0.5089,6.453
candidate_157,4,13.54,0.4004,6.145
candidate_157,5,-6.83,0.3726,6.645
candidate_157,6,-7.06,0.3437,6.543
candidate_157,7,7.54,0.322,5.946
candidate_157,8,-7.98,0.3156,6.176
candidate_157,9,20.41,0.3091,5.697
candidate_158,1,-7.27,0.9716,7.626
candidate_158,2,-7.29,0.9552,7.398
candidate_158,3,-6.21,0.9379,7.453
candidate_158,4,-8.45,0.84,7.233
candidate_158,5,-7.46,0.8346,6.996
candidate_158,6,-6.24,0.7737,7.06
candidate_158,7,-5.24,0.7656,6.991
candidate_158,8,-7.44,0.7297,6.932
candidate_158,9,-6.98,0.6993,6.986
candidate_159,1,-7.85,0.9604,7.709
candidate_159,2,-8.4,0.9459,7.461
candidate_159,3,-7.34,0.929,7.497
candidate_159,4,-6.49,0.8236,7.574
candidate_159,5,-6.46,0.7918,7.213
candidate_159,6,-7.49,0.7918,7.191
candidate_159,7,-7.11,0.778,7.079
candidate_159,8,-7.82,0.7187,7.172
candidate_159,9,-7.89,0.6858,6.959
candidate_16,1,-5.99,0.9567,7.22
candidate_16,2,-5.67,0.9345,6.876
candidate_16,3,-6.44,0.84,6.645
candidate_16,4,-5.9,0.8118,6.724
candidate_16,5,-6.41,0.75,6.341
candidate_16,6,-5.36,0.673,6.367
candidate_16,7,5.89,0.6701,6.549
candidate_16,8,15.73,0.6428,6.137
candidate_16,9,12.46,0.6015,6.166
candidate_160,1,-6.42,0.9129,6.993
candidate_160,2,-7.21,0.9077,6.911
candidate_160,3,-6.64,0.907,6.935
candidate_160,4,-6.57,0.793,6.64
candidate_160,5,-6.68,0.7889,6.857
candidate_160,6,-6.44,0.7402,6.498
candidate_160,7,-5.74,0.6925,6.783
candidate_160,8,11.63,0.6165,6.571
candidate_160,9,-5.29,0.6119,6.958
candidate_161,1,-7.16,0.8489,6.966
candidate_161,2,-7.44,0.8228,6.922
candidate_161,3,-7.4,0.7906,6.861
candidate_161,4,-7.39,0.7893,6.824
candidate_161,5,-7.49,0.6629,6.799
candidate_161,6,-6.76,0.5814,6.656
candidate_161,7,8.67,0.5548,6.183
candidate_161,8,20.61,0.5542,6.008
candidate_161,9,-7.31,0.5438,6.729
candidate_162,1,-6.85,0.715,7.019
candidate_162,2,-7.02,0.6008,7.029
candidate_162,3,-6.47,0.5816,6.809
candidate_162,4,9.17,0.5559,6.049
candidate_162,5,-6.9,0.5233,6.806
